,title,salary_standardized,location,habilidades
3540,Solution Area Specialist - Virtualization,155000.0,Anywhere,"('azure',)"
3593,Epic Healthcare Analytics Consultant,124800.0,Anywhere,"('azure',)"
3622,SFDC Business Analyst,150800.0,United States,"('powerbi', 'tableau')"
3623,Principal Business Data Analyst,165000.0,United States,"('sql', 'powerbi', 'excel', 'tableau')"
3624,Senior Management Systems Analyst,117551.2,United States,"('powerbi', 'excel', 'tableau')"
3625,Lifecycle Marketing Senior Data Analyst,146905.0,"Denver, CO","('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
3637,Data Scientist ( CITIZEN AND GREEN CARD),93600.0,Anywhere,"('python', 'sql')"
3677,Senior Data Strategy Lead,115000.0,United States,"('powerbi', 'excel')"
3678,Data Scientist with ML Ops,110000.0,Anywhere,"('python', 'sql', 'azure', 'machine_learning', 'aws')"
3679,"Manager, Data Delivery",250000.0,United States,"('python', 'sql', 'aws')"
3734,Data Scientist,96008.5,Missouri,"('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
3772,Remote Business Analyst,109200.0,"Denver, CO","('excel', 'aws')"
3773,Business Intelligence Specialist,140400.0,Anywhere,"('sql', 'powerbi')"
3774,Inventory and Margins Senior Data Analyst,90000.0,"Greenwood Village, CO","('python', 'sql', 'excel', 'tableau')"
3795,QA Analyst - Data Annotation Specialist (English UK) | NYC,58240.0,United States,"('machine_learning',)"
3825,Senior Business Analyst - Marketing Analytics,94299.6,"Denver, CO","('python', 'sql', 'powerbi', 'excel')"
3882,Business Analytics Analyst,92500.0,Anywhere,"('python', 'powerbi', 'excel')"
3884,Data Analyst-Integrations,120000.0,United States,"('python', 'sql')"
3885,Analytics Engineering Client Delivery AVP,155000.0,"Denver, CO","('python', 'sql', 'powerbi', 'excel', 'tableau', 'machine_learning')"
3886,"Research Data Scientist - Computational Biomedicine, Omar Lab",127930.0,United States,"('python', 'sql', 'r', 'machine_learning')"
3935,"Senior Data Scientist, Performance Analytics",106500.0,"Broomfield, CO","('python', 'sql', 'excel')"
3936,"Senior Statistical Reporting Analyst, Workers Compensation",120000.0,United States,"('excel',)"
3938,"Data Engineering Manager, Analytics",207500.0,Anywhere,"('python', 'sql', 'machine_learning')"
3939,Data Analyst Intern,43680.0,"Denver, CO","('excel', 'tableau')"
3994,Junior Data Visualization Engineer,100000.0,"Denver, CO","('python', 'powerbi', 'tableau', 'machine_learning')"
4018,Data Management Lead,171500.0,Anywhere,"('python', 'excel')"
4024,Intern - Data Analyst - Summer 2025,54080.0,"Aurora, CO","('powerbi', 'excel')"
4025,Intern - Data Analyst - Summer 2025,54080.0,"Fort Collins, CO","('powerbi', 'excel')"
4026,Intern - Data Analyst - Summer 2025,54080.0,"Greeley, CO","('powerbi', 'excel')"
4027,Intern - Data Analyst - Summer 2025,54080.0,"Rock Springs, WY","('powerbi', 'excel')"
4028,Intern - Data Analyst and Intelligence - Summer 2025,54080.0,"Thornton, CO","('powerbi', 'excel')"
4029,Intern - Data Analyst - Summer 2025,54080.0,"Aurora, CO","('sql', 'powerbi', 'excel', 'r')"
4031,"IT Data Analyst, Senior",50616.8,"Los Angeles, CA","('sql', 'azure')"
4032,"Data Analyst, AI Automation",52634.4,"Kansas City, MO","('python', 'sql', 'powerbi')"
4035,Lead Data Analyst,48391.2,"California, MO","('sql', 'powerbi', 'excel', 'tableau')"
4036,"Analyst, Finance Data & Reporting - Full-time / Part-time",88743.2,"Edgewater, CO","('excel',)"
